id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,label
342,1,172.41.10.2,02:42:ac:29:0a:02,02:42:ac,58570,172.41.0.13,02:42:ac:29:00:0d,02:42:ac,4997,17,4,0,0,1725263435284,1725263435417,133,3,270,1725263435284,1725263435417,133,2,211,1725263435284,1725263435284,0,1,59,59,90,46.9361268108053,144,67,105.5,54.4472221513642,144,59,59,0,59,0,66.5,94.0452018978109,133,133,133,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
343,1,172.41.10.1,02:42:ac:29:0a:01,02:42:ac,59938,172.41.0.12,02:42:ac:29:00:0c,02:42:ac,4997,17,4,0,0,1725263433743,1725263434637,894,4,414,1725263433743,1725263434637,894,3,355,1725263433743,1725263433743,0,1,59,59,103.5,46.8792775826022,144,67,118.333333333333,44.4559707276012,144,59,59,0,59,0,298,449.474137187002,815,79,447,520.430590953299,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
344,1,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,50355,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263436419,1725263436661,242,3,242,1725263436419,1725263436661,242,2,183,1725263436420,1725263436420,0,1,59,59,80.6666666666667,30.8598984660244,116,67,91.5,34.6482322781408,116,59,59,0,59,1,121,169.705627484771,241,242,242,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
345,0,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,59848,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263436378,1725263436378,0,2,126,1725263436378,1725263436378,0,1,67,1725263436378,1725263436378,0,1,59,59,63,5.65685424949238,67,67,67,0,67,59,59,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
346,0,172.41.10.4,02:42:ac:29:0a:04,02:42:ac,45215,172.41.0.15,02:42:ac:29:00:0f,02:42:ac,4997,17,4,0,0,1725263430639,1725263430639,0,2,126,1725263430639,1725263430639,0,1,67,1725263430639,1725263430639,0,1,59,59,63,5.65685424949238,67,67,67,0,67,59,59,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
347,1,172.41.10.3,02:42:ac:29:0a:03,02:42:ac,46576,172.41.0.14,02:42:ac:29:00:0e,02:42:ac,4997,17,4,0,0,1725263429834,1725263430633,799,27,2902,1725263429834,1725263430633,799,11,1159,1725263429834,1725263430108,274,16,1743,59,107.481481481481,33.2361832141399,157,67,105.363636363636,27.4527693585646,144,59,108.9375,37.5063883447429,157,0,30.7307692307692,101.321886161799,516,0,79.9,176.048257273081,575,0,18.2666666666667,26.5450201589318,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
348,1,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,49916,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263430354,1725263430889,535,5,558,1725263430354,1725263430889,535,4,499,1725263430354,1725263430354,0,1,59,59,111.6,44.4555958232482,144,67,124.75,38.5,144,59,59,0,59,0,133.75,210.748467768254,448,31,178.333333333333,233.872472371875,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
349,1,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,40378,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263435317,1725263435633,316,3,242,1725263435317,1725263435633,316,2,183,1725263435317,1725263435317,0,1,59,59,80.6666666666667,30.8598984660244,116,67,91.5,34.6482322781408,116,59,59,0,59,0,158,223.445742854949,316,316,316,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
350,1,172.41.10.4,02:42:ac:29:0a:04,02:42:ac,39786,172.41.0.15,02:42:ac:29:00:0f,02:42:ac,4997,17,4,0,0,1725263433756,1725263434513,757,3,270,1725263433756,1725263434513,757,2,211,1725263433756,1725263433756,0,1,59,59,90,46.9361268108053,144,67,105.5,54.4472221513642,144,59,59,0,59,0,378.5,535.279833358216,757,757,757,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
351,0,172.42.0.88,02:42:ac:29:00:0c,02:42:ac,53916,172.41.0.55,02:42:ac:29:00:08,02:42:ac,80,6,4,0,1,1725263436480,1725263436482,2,10,1461,1725263436480,1725263436482,2,6,743,1725263436480,1725263436481,1,4,718,110,146.1,85.3885888811328,380,110,123.833333333333,30.1358037335437,185,110,179.5,133.719856416315,380,0,0.222222222222222,0.440958551844098,1,0,0.4,0.547722557505166,1,0,0.333333333333333,0.577350269189626,1,2,0,0,0,9,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,4,1,0,1,benign
